,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""clemence royer""",2022-01-22,Jornal do Commercio (RJ) - 1920 a 1929,1923,187,17,nan,http://memoria.bn.br/docreader/364568_11/10412
1,"""clemence royer""",2022-01-22,Tribuna da Imprensa (RJ) - 1949 a 1959,1954,309,10,154083_01_15292.jpg,http://memoria.bn.br/docreader/154083_01/15292
2,"""clemence royer""",2022-10-07,A Provincia : Orgão do Partido Liberal (PE) - 1872 a 1919,1902,8,1,128066_01_11323.jpg,http://memoria.bn.br/docreader/128066_01/11323
3,"""clemence royer""",2022-01-22,O Paiz (RJ) - 1884 a 1889,1887,942,2,178691_01_3912.jpg,http://memoria.bn.br/docreader/178691_01/3912
4,"""clemence royer""",2022-01-22,Annaes da Camara dos Deputados (RJ) - 1910 a 1918,1913,1,263,060917_03_30173.jpg,http://memoria.bn.br/docreader/060917_03/30173
5,"""clemence royer""",2022-01-22,Annaes da Camara dos Deputados (RJ) - 1910 a 1918,1913,1,264,060917_03_30174.jpg,http://memoria.bn.br/docreader/060917_03/30174
6,"""clemence royer""",2022-01-22,Annaes da Camara dos Deputados (RJ) - 1910 a 1918,1913,2,75,060917_03_30672.jpg,http://memoria.bn.br/docreader/060917_03/30672
7,"""clemence royer""",2022-01-22,Annaes da Camara dos Deputados (RJ) - 1910 a 1918,1913,2,76,060917_03_30673.jpg,http://memoria.bn.br/docreader/060917_03/30673
8,"""clemence royer""",2022-10-07,Pequeno Jornal : Jornal Pequeno (PE) - 1898 a 1955,1911,17,1,800643_12772.jpg,http://memoria.bn.br/docreader/800643/12772
9,"""clemence royer""",2022-10-07,Pequeno Jornal : Jornal Pequeno (PE) - 1898 a 1955,1911,23,1,800643_12800.jpg,http://memoria.bn.br/docreader/800643/12800
10,"""clemence royer""",2022-10-07,Pequeno Jornal : Jornal Pequeno (PE) - 1898 a 1955,1931,291,1,800643_49855.jpg,http://memoria.bn.br/docreader/800643/49855
11,"""clemence royer""",2022-01-22,Diario de Noticias (RJ) - 1930 a 1939,1931,286,9,093718_01_4527.jpg,http://memoria.bn.br/docreader/093718_01/4527
12,"""clemence royer""",2022-01-22,Jornal do Commercio (RJ) - 1910 a 1919,nan,nan,6,nan,http://memoria.bn.br/docreader/364568_10/17720
13,"""clemence royer""",2022-01-22,Jornal do Commercio (RJ) - 1910 a 1919,nan,nan,15,nan,http://memoria.bn.br/docreader/364568_10/21263
14,"""clemence royer""",2022-01-22,O Jornal (RJ) - 1930 a 1939,1931,745,20,nan,http://memoria.bn.br/docreader/110523_03/6255
15,"""clemence royer""",2022-01-22,Lusitania : Revista Illustrada de actualidades e de aproximação Luso-Brasileira (RJ) - 1929,1930,34,6,830437_1866.jpg,http://memoria.bn.br/docreader/830437/1866
16,"""clemence royer""",2022-01-22,Diario de Noticias (RJ) - 1940 a 1949,1940,436,12,093718_02_2141.jpg,http://memoria.bn.br/docreader/093718_02/2141
17,"""clemence royer""",2022-01-22,O Imparcial (RJ) - 1920 a 1929,1925,492,6,107670_02_22389.jpg,http://memoria.bn.br/docreader/107670_02/22389
18,"""clemence royer""",2022-10-07,Máscara (RS) - 1918 a 1928,1919,003B,448,174181x_2042.jpg,http://memoria.bn.br/docreader/174181x/2042
19,"""clemence royer""",2022-10-07,Máscara (RS) - 1918 a 1928,1919,017,26,174181x_2619.jpg,http://memoria.bn.br/docreader/174181x/2619
20,"""clemence royer""",2022-01-22,Jornal do Brasil (RJ) - 1900 a 1909,1900,94,3,nan,http://memoria.bn.br/docreader/030015_02/8282
21,"""clemence royer""",2022-01-22,Diario Carioca (RJ) - 1930 a 1939,1931,5,6,093092_02_6241.jpg,http://memoria.bn.br/docreader/093092_02/6241
22,"""clemence royer""",2022-01-22,Revista Americana (RJ) - 1909 a 1919,1912,005-00006,170,052558_3831.jpg,http://memoria.bn.br/docreader/052558/3831
23,"""clemence royer""",2022-01-22,A Cruz : Orgão da Parochia de S. João Baptista (RJ) - 1919 a 1923,1930,36,2,829706_2300.jpg,http://memoria.bn.br/docreader/829706/2300
24,"""clemence royer""",2022-10-07,Diário da Manhã (PE) - 1930 a 1939,1937,4,12,093262_02_29549.jpg,http://memoria.bn.br/docreader/093262_02/29549
25,"""clemence royer""",2022-10-07,Diario de Pernambuco (PE) - 1920 a 1929,1926,182,2,nan,http://memoria.bn.br/docreader/029033_10/18338
26,"""clemence royer""",2022-10-07,A Provincia (PE) - 1920 a 1933,1920,7,1,128066_02_49.jpg,http://memoria.bn.br/docreader/128066_02/49
27,"""clemence royer""",2022-10-07,A Provincia (PE) - 1920 a 1933,1920,295,1,128066_02_2352.jpg,http://memoria.bn.br/docreader/128066_02/2352
28,"""clemence royer""",2022-10-07,Diario de Pernambuco (PE) - 1930 a 1939,1934,244,28,nan,http://memoria.bn.br/docreader/029033_11/13083
29,"""clemence royer""",2022-01-22,O Brazil (RJ) - 1890 a 1891,1890,91,2,800023_76.jpg,http://memoria.bn.br/docreader/800023/76
30,"""clemence royer""",2022-01-22,Correio da Manhã (RJ) - 1901 a 1909,1905,531,1,089842_01_8935.jpg,http://memoria.bn.br/docreader/089842_01/8935
31,"""clemence royer""",2022-01-22,O Paiz (RJ) - 1900 a 1909,1900,647,2,178691_03_450.jpg,http://memoria.bn.br/docreader/178691_03/450
32,"""clemence royer""",2022-01-22,Gazeta de Noticias (RJ) - 1880 a 1889,1887,125,2,103730_02_12016.jpg,http://memoria.bn.br/docreader/103730_02/12016
33,"""clemence royer""",2022-01-22,Jornal do Commercio (RJ) - 1900 a 1909,1902,73,1,nan,http://memoria.bn.br/docreader/364568_09/4249
34,"""clemence royer""",2022-10-07,Mascara (RS) - 1918 a 1928,1919,3,487,174181_2042.jpg,http://memoria.bn.br/docreader/174181/2042
35,"""clemence royer""",2022-10-07,Mascara (RS) - 1918 a 1928,1919,17,26,174181_2619.jpg,http://memoria.bn.br/docreader/174181/2619
36,"""clemence royer""",2022-01-22,Correio da Manhã (RJ) - 1936 a 1939,1930,803,21,089842_04_1068.jpg,http://memoria.bn.br/docreader/089842_04/1068
37,"""clemence royer""",2022-01-22,A Noticia (RJ) - 1894 a 1916,1897,54,3,830380_2536.jpg,http://memoria.bn.br/docreader/830380/2536
38,"""clemence royer""",2022-01-22,Jornal do Brasil (RJ) - 1890 a 1899,1892,347,2,nan,http://memoria.bn.br/docreader/030015_01/2459
39,"""clemence royer""",2022-01-22,Revista da Semana (RJ) - 1921 a 1929,1927,18,8,025909_02_13713.jpg,http://memoria.bn.br/docreader/025909_02/13713
40,"""clemence royer""",2022-01-22,Jornal do Commercio (RJ) - 1890 a 1899,1897,104,3,nan,http://memoria.bn.br/docreader/364568_08/24500
41,"""clemence royer""",2022-01-22,Reformador (RJ) - 1883 a 1902,1890,176,2,830127_715.jpg,http://memoria.bn.br/docreader/830127/715
42,"""clemence royer""",2022-01-22,Boletim do Grande Oriente Unido e Supremo Conselho do Brazil : Jornal Offical da Maçonaria Brazileira (RJ) - 1873 a 1877,1874,004-00007,342,074594_1352.jpg,http://memoria.bn.br/docreader/074594/1352
43,"""clemence royer""",2022-01-22,O Apostolo : Periodico religioso  moral e doutrinario  consagrado aos interesses da religião e da sociedade (RJ) - 1866 a 1901,1888,118,2,343951_11448.jpg,http://memoria.bn.br/docreader/343951/11448
