Acervo,Total de Páginas,Total de Ocorrências,Frequência de ocorrências X páginas
Annaes da Camara dos Deputados (RJ) - 1910 a 1918,103694,4,25923.5
Jornal do Brasil (RJ) - 1930 a 1939,98239,2,49119.5
Jornal do Commercio (RJ) - 1910 a 1919,60566,2,30283.0
Revista da Semana (RJ) - 1921 a 1929,19701,1,19701.0
Jornal do Brasil (RJ) - 1890 a 1899,12131,1,12131.0
Jornal do Brasil (RJ) - 1900 a 1909,36138,1,36138.0
Revista Americana (RJ) - 1909 a 1919,11844,1,11844.0
Boletim do Grande Oriente Unido e Supremo Conselho do Brazil : Jornal Offical da Maçonaria Brazileira (RJ) - 1873 a 1877,4494,1,4494.0
Correio da Manhã (RJ) - 1901 a 1909,21829,1,21829.0
Correio da Manhã (RJ) - 1936 a 1939,55657,1,55657.0
Diario Carioca (RJ) - 1930 a 1939,41309,1,41309.0
Diario de Noticias (RJ) - 1930 a 1939,41882,1,41882.0
Diario de Noticias (RJ) - 1940 a 1949,49860,1,49860.0
O Fluminense (RJ) - 1900 a 1909,13974,1,13974.0
Gazeta de Noticias (RJ) - 1880 a 1889,16741,1,16741.0
O Imparcial (RJ) - 1920 a 1929,38593,1,38593.0
O Jornal (RJ) - 1930 a 1939,54381,1,54381.0
Tribuna da Imprensa (RJ) - 1949 a 1959,48044,1,48044.0
O Paiz (RJ) - 1884 a 1889,8099,1,8099.0
O Paiz (RJ) - 1900 a 1909,22179,1,22179.0
"Fon Fon : Semanario Alegre, Politico, Critico e Espusiante (RJ) - 1907 a 1958",152864,1,152864.0
Revista Moderna (RJ) - 1897 a 1899,1327,1,1327.0
"O Apostolo : Periodico religioso, moral e doutrinario, consagrado aos interesses da religião e da sociedade (RJ) - 1866 a 1901",16660,1,16660.0
Jornal do Commercio (RJ) - 1890 a 1899,34586,1,34586.0
Jornal do Commercio (RJ) - 1900 a 1909,18816,1,18816.0
Jornal do Commercio (RJ) - 1920 a 1929,51497,1,51497.0
A Familia : jornal litterario dedicado a educação da mãe e familia (RJ) - 1888 a 1894,985,1,985.0
O Brazil (RJ) - 1890 a 1891,1705,1,1705.0
"L'italia : In Continuazione Del ""Cosmopolita"" (RJ) - 1885 a 1889",1542,1,1542.0
A Cruz : Orgão da Parochia de S. João Baptista (RJ) - 1919 a 1923,16761,1,16761.0
Reformador (RJ) - 1883 a 1902,1583,1,1583.0
A Noticia (RJ) - 1894 a 1916,25255,1,25255.0
Lusitania : Revista Illustrada de actualidades e de aproximação Luso-Brasileira (RJ) - 1929,5679,1,5679.0
